name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
0 biomass,eGon2035,0,,biomass,5.798312022422695,False,1.0,42.1080906341983,0,1.0,0,0,0,0,inf,Slack,5.798312022422695,5.798312022422695
0 central_biomass_CHP,eGon2035,0,,central_biomass_CHP,3.9272880787437017,False,0.9999999999999999,42.11021989327283,0,0.9999999999999999,0,0,0,0,inf,PV,3.9272880787437017,3.9272880787437017
0 industrial_biomass_CHP,eGon2035,0,,industrial_biomass_CHP,48.474123733093585,False,1.0,42.10931379813339,0,1.0,0,0,0,0,inf,PV,48.474123733093585,48.474123733093585
0 load shedding,,0,,load shedding,6836445.0,False,1.0,10000.007770911516,0,1.0,0,0,1,0,0.0,PQ,6836445.0,6836445.0
0 solar,eGon2035,0,,solar,206.77539359121894,False,1.0,0.016008822095615934,0,1.0,0,0,0,0,inf,PV,206.77539359121894,206.77539359121894
0 solar_rooftop,eGon2035,0,,solar_rooftop,384.9506114240189,False,1.0,0.01899990803377969,0,1.0,0,0,0,0,inf,PV,384.9506114240189,384.9506114240189
0 wind_offshore,eGon2035,0,,wind_offshore,7011.0,False,0.9999999999999999,2.5654479309100076,0,0.9999999999999999,0,0,0,0,inf,PV,7011.0,7011.0
0 wind_onshore,eGon2035,0,,wind_onshore,797.5405177063752,False,1.0,1.3069609106858915,0,1.0,0,0,0,0,inf,PV,797.5405177063752,797.5405177063752
1 biomass,eGon2035,1,,biomass,9.91921179410311,False,0.9999999999999999,42.10672782921491,0,0.9999999999999999,0,0,0,0,inf,PV,9.91921179410311,9.91921179410311
1 central_biomass_CHP,eGon2035,1,,central_biomass_CHP,6.5500788082195145,False,1.0,42.10995860156271,0,1.0,0,0,0,0,inf,PV,6.5500788082195145,6.5500788082195145
1 industrial_biomass_CHP,eGon2035,1,,industrial_biomass_CHP,94.27791329219185,False,0.9999999999999999,42.107470037892135,0,0.9999999999999999,0,0,0,0,inf,PV,94.27791329219185,94.27791329219185
1 load shedding,,1,,load shedding,12163545.0,False,1.0,10000.008239277748,0,1.0,0,0,1,0,0.0,PQ,12163545.0,12163545.0
1 others,eGon2035,1,,others,12.965762257350994,False,1.0000000000000002,0.006876366653832457,0,1.0000000000000002,0,0,0,0,inf,PV,12.965762257350994,12.965762257350994
1 reservoir,eGon2035,1,,reservoir,0.20582696471095852,False,0.65,0.007156460764742728,0,1.0,0,0,0,0,inf,PV,0.20582696471095852,0.20582696471095852
1 run_of_river,eGon2035,1,,run_of_river,23.695568154069186,False,0.6500000000000001,0.006977043753674397,0,1.0000000000000002,0,0,0,0,inf,PV,23.695568154069186,23.695568154069186
1 solar,eGon2035,1,,solar,1406.5440048699197,False,0.9999999999999999,0.01713119667718908,0,0.9999999999999999,0,0,0,0,inf,PV,1406.5440048699197,1406.5440048699197
1 solar_rooftop,eGon2035,1,,solar_rooftop,1112.1652591161746,False,1.0,0.017544251751165193,0,1.0,0,0,0,0,inf,PV,1112.1652591161746,1112.1652591161746
1 wind_onshore,eGon2035,1,,wind_onshore,220.43163157653495,False,1.0,1.30765492864006,0,1.0,0,0,0,0,inf,PV,220.43163157653495,220.43163157653495
10 biomass,eGon2035,10,,biomass,35.91161116784001,False,1.0,42.10929985789566,0,1.0,0,0,0,0,inf,PV,35.91161116784001,35.91161116784001
10 central_biomass_CHP,eGon2035,10,,central_biomass_CHP,21.173985482795597,False,1.0,42.105848194715975,0,1.0,0,0,0,0,inf,PV,21.173985482795597,21.173985482795597
10 industrial_biomass_CHP,eGon2035,10,,industrial_biomass_CHP,495.89033366457664,False,1.0,42.108960236157266,0,1.0,0,0,0,0,inf,PV,495.89033366457664,495.89033366457664
10 load shedding,,10,,load shedding,21841110.0,False,1.0,10000.00821063105,0,1.0,0,0,1,0,0.0,PQ,21841110.0,21841110.0
10 others,eGon2035,10,,others,9.941199641923326,False,1.0,0.010585473663822278,0,1.0,0,0,0,0,inf,PV,9.941199641923326,9.941199641923326
10 run_of_river,eGon2035,10,,run_of_river,194.0383841420081,False,0.6500000000000001,0.008881928693352952,0,1.0,0,0,0,0,inf,PV,194.0383841420081,194.0383841420081
10 solar,eGon2035,10,,solar,730.5570772116281,False,0.9999999999999999,0.017460360979448582,0,0.9999999999999999,0,0,0,0,inf,PV,730.5570772116281,730.5570772116281
10 solar_rooftop,eGon2035,10,,solar_rooftop,2374.2853205906636,False,1.0,0.01779054021259066,0,1.0,0,0,0,0,inf,PV,2374.2853205906636,2374.2853205906636
10 wind_onshore,eGon2035,10,,wind_onshore,1076.6915274429832,False,1.0000000000000002,1.307678547121518,0,1.0000000000000002,0,0,0,0,inf,PV,1076.6915274429832,1076.6915274429832
11 biomass,eGon2035,11,,biomass,20.836041884387036,False,1.0,42.107502342751516,0,1.0,0,0,0,0,inf,PV,20.836041884387036,20.836041884387036
11 central_biomass_CHP,eGon2035,11,,central_biomass_CHP,22.036988401757117,False,1.0,42.107557117019994,0,1.0,0,0,0,0,inf,PV,22.036988401757117,22.036988401757117
11 industrial_biomass_CHP,eGon2035,11,,industrial_biomass_CHP,51.312510852805445,False,1.0,42.10781276177114,0,1.0,0,0,0,0,inf,PV,51.312510852805445,51.312510852805445
11 load shedding,,11,,load shedding,13672890.0,False,1.0,10000.008365660637,0,1.0,0,0,1,0,0.0,PQ,13672890.0,13672890.0
11 run_of_river,eGon2035,11,,run_of_river,71.30201686994835,False,0.65,0.007110539920943235,0,1.0,0,0,0,0,inf,PV,71.30201686994835,71.30201686994835
11 solar,eGon2035,11,,solar,738.9012441118668,False,0.9999999999999999,0.02007104980862327,0,0.9999999999999999,0,0,0,0,inf,PV,738.9012441118668,738.9012441118668
11 solar_rooftop,eGon2035,11,,solar_rooftop,1027.164081522621,False,1.0,0.018848279516471344,0,1.0,0,0,0,0,inf,PV,1027.164081522621,1027.164081522621
11 wind_onshore,eGon2035,11,,wind_onshore,333.115069153067,False,0.9999999999999999,1.308267467300384,0,0.9999999999999999,0,0,0,0,inf,PV,333.115069153067,333.115069153067
12 biomass,eGon2035,12,,biomass,2.186533023447575,False,0.9999999999999998,42.10737427939437,0,0.9999999999999998,0,0,0,0,inf,PV,2.186533023447575,2.186533023447575
